"AL","Aileu",-8.72806,125.56639,926
"AN","Ainaro",-8.99241,125.50816,820
"BA","Baukau",-8.47572,126.45633,442
"BA","Venilale",-8.64306,126.37833,834
"BO","Maliana",-8.99167,125.21972,253
"CO","Suai",-9.31286,125.25648,73
"DI","Dili",-8.55861,125.57361,3
"DI","Metinaro",-8.53007,125.74163,15
"ER","Gleno",-8.72389,125.43611,709
"LA","Lospalos",-8.52167,126.99833,391
"LI","Likisá",-8.5875,125.34194,23
"LI","Maubara",-8.61194,125.20611,21
"MF","Same",-9.00417,125.64861,481
"MT","Manatutu",-8.51139,126.01306,8
"OE","Pante Makasar",-9.2,124.38333,24
"VI","Viqueque",-8.8575,126.36472,55
